"Table with row headers in column A and column headers in rows 4 and 5, 57 and 58, 110 and 111, 163 and 164, 216 and 217, 269 and 270, 322 and 323, 375 and 376, 428 and 429, 481 and 482, 534 and 535, 587 and 588, 640 and 641, 693 and 694, 746 and 747, 799 and 800, 852 and 853, 905 and 906, 958 and 959, 1011 and 1012, 1064 and 1065, 1117 and 1118, 1170 and 1171, 1223 and 1224, 1276 and 1277, 1329 and 1330, 1382 and 1383, 1435 and 1436, 1488 and 1489, 1541 and 1542, 1594 and 1595, 1647 and 1648, 1700 and 1701, 1753 and 1754, 1806 and 1807, 1859 and 1860, 1912 and 1913, 1965 and 1966, and 2018 and 2019.",,,,,
"Table 21. Number of Poor and Poverty Rate, by State: 1980 to  2017",,,,,
NOTE: Number in thousands.,,,,,
2017,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Iowa,"2,876",419,58,14.6,1.9
Kansas,"2,420",260,45,10.7,1.8
Kentucky,"3,721",709,75,19.1,1.8
Louisiana,"4,304",888,84,20.6,1.7
Maine,"1,167",152,35,13.0,2.8
Maryland,"4,106",358,53,8.7,1.2
Massachusetts,"5,845",519,64,8.9,1.0
Michigan,"8,962","1,495",109,16.7,1.1
Minnesota,"4,164",381,55,9.1,1.3
Mississippi,"2,504",628,71,25.1,2.4
Missouri,"4,958",720,76,14.5,1.4
Montana,836,115,30,13.8,3.4
Nebraska,"1,608",213,41,13.3,2.4
Nevada,962,101,28,10.5,2.8
New Hampshire,958,68,23,7.1,2.3
New Jersey,"7,511",758,78,10.1,1.0
New Mexico,"1,437",280,47,19.5,2.9
New York,"17,560","2,806",149,16.0,0.8
North Carolina,"5,900",860,83,14.6,1.3
North Dakota,683,106,29,15.4,3.9
Ohio,"10,619","1,429",106,13.5,0.9
Oklahoma,"3,200",426,58,13.3,1.7
Oregon,"2,593",331,51,12.8,1.8
Pennsylvania,"11,722","1,825",120,15.6,0.9
Rhode Island,946,121,31,12.8,3.1
South Carolina,"3,258",561,67,17.2,1.9
South Dakota,691,100,28,14.5,3.8
Tennessee,"4,603",800,80,17.4,1.6
Texas,"15,639","2,448",139,15.7,0.8
Utah,"1,647",183,38,11.1,2.2
Vermont,514,65,23,12.6,4.1
Virginia,"5,563",554,66,10.0,1.1
Washington,"4,242",479,62,11.3,1.4
West Virginia,"1,922",392,56,20.4,2.6
Wisconsin,"4,698",730,76,15.5,1.5
Wyoming,488,53,21,10.9,4.0
1983 (6),,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"3,950",909,89,23.0,2.0
Alaska,486,61,8,12.6,1.5
Arizona,"2,875",469,61,16.3,2.0
Arkansas,"2,283",492,56,21.5,2.2
California,"25,169","3,755",194,14.9,0.7
Colorado,"3,083",390,55,12.6,1.7
Connecticut,"3,149",276,50,8.8,1.5
Delaware,602,52,10,8.6,1.6
D.C.,604,130,17,21.5,2.5
Florida,"10,850","1,595",133,14.7,1.1
Georgia,"5,581","1,050",107,18.8,1.7
Hawaii,998,129,19,12.9,1.8
Idaho,980,174,22,17.7,2.0
Illinois,"11,345","1,617",132,14.3,1.1
Indiana,"5,382",865,91,16.1,1.6
Iowa,"2,828",473,61,16.7,2.0
Kansas,"2,369",321,48,13.6,1.9
Kentucky,"3,752",670,85,17.9,2.1
Louisiana,"4,360",939,90,21.5,1.8
Maine,"1,157",144,22,12.4,1.8
Maryland,"4,112",358,58,8.7,1.4
Massachusetts,"5,731",443,59,7.7,1.0
Michigan,"9,056","1,518",124,16.8,1.3
Minnesota,"4,138",502,72,12.1,1.6
Mississippi,"2,481",669,64,27.0,2.2
Missouri,"4,837",807,90,16.7,1.7
Montana,810,125,17,15.4,1.9
Nebraska,"1,577",240,33,15.2,1.9
Nevada,885,86,16,9.7,1.7
New Hampshire,938,76,15,8.1,1.6
New Jersey,"7,451",828,89,11.1,1.1
New Mexico,"1,385",340,36,24.5,2.2
New York,"17,576","2,817",165,16.0,0.9
North Carolina,"5,890",933,102,15.8,1.6
North Dakota,685,103,14,15.0,1.9
Ohio,"10,681","1,434",121,13.4,1.1
Oklahoma,"3,259",553,65,17.0,1.8
Oregon,"2,597",419,58,16.1,2.0
Pennsylvania,"11,640","1,797",135,15.4,1.1
Rhode Island,971,141,21,14.5,2.0
South Carolina,"3,295",687,75,20.8,2.0
South Dakota,689,127,15,18.4,2.0
Tennessee,"4,663",933,101,20.0,1.9
Texas,"15,587","2,499",172,16.0,1.0
Utah,"1,591",214,29,13.5,1.7
Vermont,531,83,12,15.6,2.1
Virginia,"5,448",618,94,11.3,1.6
Washington,"4,274",460,73,10.8,1.6
West Virginia,"1,898",419,45,22.1,2.1
Wisconsin,"4,736",504,80,10.7,1.6
Wyoming,486,61,10,12.6,1.9
1982,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"3,937",849,82,21.6,1.8
Alaska,432,46,19,10.6,4.2
Arizona,"2,765",408,57,14.8,1.9
Arkansas,"2,219",527,65,23.8,2.5
California,"24,613","3,475",165,14.1,0.6
Colorado,"3,064",387,55,12.6,1.7
Connecticut,"3,126",254,45,8.1,1.4
Delaware,611,70,24,11.5,3.6
D.C.,609,117,31,19.3,4.5
Florida,"10,514","1,601",112,15.2,1.0
Georgia,"5,472","1,074",92,19.6,1.5
Hawaii,997,132,32,13.2,3.0
Idaho,967,151,35,15.6,3.3
Illinois,"11,284","1,512",109,13.4,0.9
Indiana,"5,415",683,74,12.6,1.3
Iowa,"2,770",371,54,13.4,1.8
Kansas,"2,365",247,44,10.4,1.8
Kentucky,"3,618",587,68,16.2,1.7
Louisiana,"4,299",976,88,22.7,1.8
Maine,"1,133",156,35,13.7,2.9
Maryland,"4,190",516,64,12.3,1.4
Massachusetts,"5,748",590,68,10.3,1.1
Michigan,"9,117","1,481",108,16.2,1.1
Minnesota,"4,120",546,66,13.3,1.5
Mississippi,"2,454",562,67,22.9,2.4
Missouri,"4,798",699,74,14.6,1.4
Montana,793,134,33,17.0,3.8
Nebraska,"1,582",216,41,13.6,2.4
Nevada,897,70,24,7.8,2.5
New Hampshire,943,97,28,10.3,2.8
New Jersey,"7,367",896,84,12.2,1.1
New Mexico,"1,355",303,49,22.4,3.2
New York,"17,656","2,607",143,14.8,0.8
North Carolina,"5,928","1,201",97,20.3,1.5
North Dakota,658,85,26,12.9,3.7
Ohio,"10,711","1,366",104,12.8,0.9
Oklahoma,"3,111",478,62,15.4,1.8
Oregon,"2,557",354,53,13.9,1.9
Pennsylvania,"11,619","1,572",111,13.5,0.9
Rhode Island,942,125,32,13.3,3.1
South Carolina,"3,301",701,75,21.2,2.0
South Dakota,677,114,30,16.8,4.0
Tennessee,"4,679","1,106",94,23.6,1.8
Texas,"15,153","2,450",139,16.2,0.8
Utah,"1,575",229,43,14.5,2.5
Vermont,519,67,23,12.9,4.2
Virginia,"5,329",668,73,12.5,1.3
Washington,"4,259",549,66,12.9,1.4
West Virginia,"1,951",484,62,24.8,2.8
Wisconsin,"4,733",452,60,9.5,1.2
Wyoming,481,58,21,12.0,4.2
1981 (5),,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"3,878",935,86,24.1,1.9
Alaska,403,36,17,9.0,4.0
Arizona,"2,751",323,51,11.7,1.7
Arkansas,"2,247",541,65,24.1,2.5
California,"24,112","3,216",159,13.3,0.6
Colorado,"2,958",285,48,9.6,1.5
Connecticut,"3,084",254,45,8.2,1.4
Delaware,587,72,24,12.3,3.8
D.C.,612,111,30,18.1,4.4
Florida,"10,277","1,704",116,16.6,1.0
Georgia,"5,415",881,84,16.3,1.4
Hawaii,953,108,29,11.3,2.9
Idaho,962,171,37,17.7,3.5
Illinois,"11,338","1,371",104,12.1,0.9
Indiana,"5,431",685,74,12.6,1.3
Iowa,"2,815",368,54,13.1,1.8
Kansas,"2,282",267,46,11.7,1.9
Kentucky,"3,668",708,75,19.3,1.8
Louisiana,"4,262",938,86,22.0,1.8
Maine,"1,116",179,38,16.0,3.1
Maryland,"4,123",442,59,10.7,1.4
Massachusetts,"5,804",518,64,8.9,1.1
Michigan,"9,096","1,184",97,13.0,1.0
Minnesota,"4,034",438,59,10.9,1.4
Mississippi,"2,408",618,70,25.7,2.5
Missouri,"4,814",634,71,13.2,1.4
Montana,813,107,29,13.1,3.3
Nebraska,"1,579",221,42,14.0,2.5
Nevada,884,93,27,10.5,2.9
New Hampshire,929,70,24,7.6,2.4
New Jersey,"7,331",736,76,10.0,1.0
New Mexico,"1,303",243,44,18.6,3.0
New York,"17,471","2,516",141,14.4,0.7
North Carolina,"5,820","1,016",90,17.5,1.4
North Dakota,626,89,27,14.2,3.9
Ohio,"10,751","1,369",104,12.7,0.9
Oklahoma,"2,985",413,57,13.8,1.8
Oregon,"2,693",331,51,12.3,1.8
Pennsylvania,"11,738","1,367",104,11.6,0.8
Rhode Island,936,109,29,11.7,3.0
South Carolina,"3,347",615,70,18.4,1.9
South Dakota,675,132,32,19.5,4.3
Tennessee,"4,502",943,86,20.9,1.7
Texas,"14,641","2,258",133,15.4,0.8
Utah,"1,516",185,38,12.2,2.4
Vermont,535,66,23,12.3,4.0
Virginia,"5,257",662,72,12.6,1.3
Washington,"4,168",471,61,11.3,1.4
West Virginia,"2,003",398,56,19.9,2.5
Wisconsin,"4,741",384,55,8.1,1.1
Wyoming,482,43,18,8.9,3.7
1980,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"3,831",810,80,21.2,1.9
Alaska,379,36,17,9.6,4.3
Arizona,"2,774",354,53,12.8,1.8
Arkansas,"2,249",484,62,21.5,2.4
California,"23,748","2,619",144,11.0,0.6
Colorado,"2,869",247,44,8.6,1.5
Connecticut,"3,090",255,45,8.3,1.4
Delaware,578,68,23,11.8,3.8
D.C.,626,131,32,20.9,4.6
Florida,"10,100","1,692",116,16.7,1.0
Georgia,"5,243",727,76,13.9,1.3
Hawaii,954,81,25,8.5,2.5
Idaho,934,138,33,14.7,3.3
Illinois,"11,259","1,386",105,12.3,0.9
Indiana,"5,490",645,72,11.8,1.2
Iowa,"2,868",311,50,10.8,1.6
Kansas,"2,286",215,41,9.4,1.7
Kentucky,"3,641",701,75,19.3,1.8
Louisiana,"4,273",868,83,20.3,1.7
Maine,"1,077",158,35,14.6,3.0
Maryland,"4,104",389,56,9.5,1.3
Massachusetts,"5,725",542,66,9.5,1.1
Michigan,"9,227","1,194",97,12.9,1.0
Minnesota,"3,920",342,52,8.7,1.3
Mississippi,"2,429",591,68,24.3,2.5
Missouri,"4,800",625,70,13.0,1.4
Montana,774,102,29,13.2,3.4
Nebraska,"1,532",199,40,13.0,2.4
Nevada,840,70,24,8.3,2.7
New Hampshire,907,63,22,7.0,2.4
New Jersey,"7,316",659,72,9.0,0.9
New Mexico,"1,304",268,46,20.6,3.2
New York,"17,321","2,391",137,13.8,0.7
North Carolina,"5,836",877,83,15.0,1.3
North Dakota,640,99,28,15.5,4.0
Ohio,"10,630","1,046",91,9.8,0.8
Oklahoma,"2,916",406,57,13.9,1.8
Oregon,"2,684",309,50,11.5,1.7
Pennsylvania,"11,665","1,142",95,9.8,0.8
Rhode Island,911,97,28,10.7,2.9
South Carolina,"3,174",534,65,16.8,1.9
South Dakota,677,127,32,18.8,4.2
Tennessee,"4,519",884,84,19.6,1.7
Texas,"14,326","2,247",133,15.7,0.9
Utah,"1,488",148,34,10.0,2.2
Vermont,520,62,22,12.0,4.0
Virginia,"5,204",647,72,12.4,1.3
Washington,"4,223",538,65,12.7,1.4
West Virginia,"1,952",297,49,15.2,2.3
Wisconsin,"4,724",403,57,8.5,1.1
Wyoming,468,49,20,10.4,4.0
"Standard errors shown in this table are based on standard errors calculated using replicate weights instead of the generalized variance function used in the past. For more information, see Standard Errors and Their Use at <www2.census.gov/library/publications/2018/demo/p60-263sa.pdf>.    For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar18.pdf>.  Footnotes are available at <www.census.gov/topics/income-poverty/poverty/guidance/poverty-footnotes/cps-historic-footnotes.html>.   SOURCE: U.S. Bureau of the Census, Current Population Survey, Annual Social and Economic Supplements.",,,,,
,,,,,
